YEAR	month	type	amount
1995	MAY	HIGH	190050.651342545
1995	JUN	HIGH	194382.405192137
1995	JUL	HIGH	194953.452783898
1995	AUG	HIGH	188030.762138065
1995	SEP	HIGH	189130.779958341
1995	OCT	HIGH	190127.039605197
1995	NOV	HIGH	193671.623033796
1995	DEC	HIGH	197447.385863043
1996	JAN	MED	189167
1996	FEB	MED	192269
1996	MAR	MED	193993
1996	APR	MED	194712
1996	MAY	MED	196210
1996	JUN	MED	196127
1996	JUL	MED	196229
1996	AUG	MED	196215
1996	SEP	MED	198843
1996	OCT	MED	200488
1996	NOV	MED	200200
1996	DEC	MED	201191
1996	JAN	LOW	180537.076707099
1996	FEB	LOW	184096.790939715
1996	MAR	LOW	186869.821223181
1996	APR	LOW	192804.057211325
1996	MAY	LOW	191854.482118078
1996	JUN	LOW	187067.778928343
1996	JUL	LOW	190767.804178592
1996	AUG	LOW	194519.898114875
1996	SEP	LOW	191969.911469735
1996	OCT	LOW	198106.648707867
1996	NOV	LOW	196823.680365738
1996	DEC	LOW	192388.571277153
1996	JAN	HIGH	190434.531118356
1996	FEB	HIGH	195314.281427912
1996	MAR	HIGH	196251.397061378
1996	APR	HIGH	204253.910444386
1996	MAY	HIGH	202717.651342545
1996	JUN	HIGH	204421.405192137
1996	JUL	HIGH	205712.452783898
1996	AUG	HIGH	197431.762138065
1996	SEP	HIGH	200635.779958341
1996	OCT	HIGH	204069.039605197
1996	NOV	HIGH	204819.623033796
1996	DEC	HIGH	207829.385863043
1997	JAN	MED	202414
1997	FEB	MED	204273
1997	MAR	MED	204965
1997	APR	MED	203372
1997	MAY	MED	201676
1997	JUN	MED	204666
1997	JUL	MED	207049
1997	AUG	MED	207643
1997	SEP	MED	208298
1997	OCT	MED	208064
1997	NOV	MED	208982
1997	DEC	MED	209379
1997	JAN	LOW	193784.076707099
1997	FEB	LOW	196100.790939715
1997	MAR	LOW	197841.821223181
1997	APR	LOW	201464.057211325
1997	MAY	LOW	197320.482118078
1997	JUN	LOW	195606.778928343
1997	JUL	LOW	201587.804178592
1997	AUG	LOW	205947.898114875
1997	SEP	LOW	201424.911469735
1997	OCT	LOW	205682.648707867
1997	NOV	LOW	205605.680365738
1997	DEC	LOW	200576.571277153
1997	JAN	HIGH	203681.531118356
1997	FEB	HIGH	207318.281427912
1997	MAR	HIGH	207223.397061378
1997	APR	HIGH	212913.910444386
1997	MAY	HIGH	208183.651342545
1997	JUN	HIGH	212960.405192137
1997	JUL	HIGH	216532.452783898
1997	AUG	HIGH	208859.762138065
1997	SEP	HIGH	210090.779958341
1997	OCT	HIGH	211645.039605197
1997	NOV	HIGH	213601.623033796
1997	DEC	HIGH	216017.385863043
1998	JAN	MED	209684
1998	FEB	MED	209532
1998	MAR	MED	210792
1998	APR	MED	213623
1998	MAY	MED	214619
1998	JUN	MED	216324
1998	JUL	MED	214853
1998	AUG	MED	213669
1998	SEP	MED	215712
1998	OCT	MED	219465
1998	NOV	MED	221150
1998	DEC	MED	223226
1998	JAN	LOW	201054.076707099
1998	FEB	LOW	201359.790939715
1998	MAR	LOW	203668.821223181
1998	APR	LOW	211715.057211325
1998	MAY	LOW	210263.482118078
1998	JUN	LOW	207264.778928343
1998	JUL	LOW	209391.804178592
1998	AUG	LOW	211973.898114875
1998	SEP	LOW	208838.911469735
1998	OCT	LOW	217083.648707867
1998	NOV	LOW	217773.680365738
1998	DEC	LOW	214423.571277153
1998	JAN	HIGH	210951.531118356
1998	FEB	HIGH	212577.281427912
1998	MAR	HIGH	213050.397061378
1998	APR	HIGH	223164.910444386
1998	MAY	HIGH	221126.651342545
1998	JUN	HIGH	224618.405192137
1998	JUL	HIGH	224336.452783898
1998	AUG	HIGH	214885.762138065
1998	SEP	HIGH	217504.779958341
1998	OCT	HIGH	223046.039605197
1998	NOV	HIGH	225769.623033796
1998	DEC	HIGH	229864.385863043
1999	JAN	MED	224020
1999	FEB	MED	226240
1999	MAR	MED	227407
1999	APR	MED	228978
1999	MAY	MED	231238
1999	JUN	MED	231926
1999	JUL	MED	233933
1999	AUG	MED	236589
1999	SEP	MED	237516
1999	OCT	MED	237560
1999	NOV	MED	240462
1999	DEC	MED	245498
1999	JAN	LOW	215390.076707099
1999	FEB	LOW	218067.790939715
1999	MAR	LOW	220283.821223181
1999	APR	LOW	227070.057211325
1999	MAY	LOW	226882.482118078
1999	JUN	LOW	222866.778928343
1999	JUL	LOW	228471.804178592
1999	AUG	LOW	234893.898114875
1999	SEP	LOW	230642.911469735
1999	OCT	LOW	235178.648707867
1999	NOV	LOW	237085.680365738
1999	DEC	LOW	236695.571277153
1999	JAN	HIGH	225287.531118356
1999	FEB	HIGH	229285.281427912
1999	MAR	HIGH	229665.397061378
1999	APR	HIGH	238519.910444386
1999	MAY	HIGH	237745.651342545
1999	JUN	HIGH	240220.405192137
1999	JUL	HIGH	243416.452783898
1999	AUG	HIGH	237805.762138065
1999	SEP	HIGH	239308.779958341
1999	OCT	HIGH	241141.039605197
1999	NOV	HIGH	245081.623033796
1999	DEC	HIGH	252136.385863043
2000	JAN	MED	243483
2000	FEB	MED	247133
2000	MAR	MED	249847
2000	APR	MED	245789
2000	MAY	MED	246225
2000	JUN	MED	248178
2000	JUL	MED	247184
2000	AUG	MED	247601
2000	SEP	MED	251812
2000	OCT	MED	251267
2000	NOV	MED	250225
2000	DEC	MED	250603
2000	JAN	LOW	234853.076707099
2000	FEB	LOW	238960.790939715
2000	MAR	LOW	242723.821223181
2000	APR	LOW	243881.057211325
2000	MAY	LOW	241869.482118078
2000	JUN	LOW	239118.778928343
2000	JUL	LOW	241722.804178592
2000	AUG	LOW	245905.898114875
2000	SEP	LOW	244938.911469735
2000	OCT	LOW	248885.648707867
2000	NOV	LOW	246848.680365738
2000	DEC	LOW	241800.571277153
2000	JAN	HIGH	244750.531118356
2000	FEB	HIGH	250178.281427912
2000	MAR	HIGH	252105.397061378
2000	APR	HIGH	255330.910444386
2000	MAY	HIGH	252732.651342545
2000	JUN	HIGH	256472.405192137
2000	JUL	HIGH	256667.452783898
2000	AUG	HIGH	248817.762138065
2000	SEP	HIGH	253604.779958341
2000	OCT	HIGH	254848.039605197
2000	NOV	HIGH	254844.623033796
2000	DEC	HIGH	257241.385863043
2001	JAN	MED	252736
2001	FEB	MED	252730
2001	MAR	MED	250346
2001	APR	MED	254759
2001	MAY	MED	255262
2001	JUN	MED	254020
2001	JUL	MED	253015
2001	AUG	MED	254570
2001	SEP	MED	249856
2001	OCT	MED	268072
2001	NOV	MED	260363
2001	DEC	MED	256552
2001	JAN	LOW	244106.076707099
2001	FEB	LOW	244557.790939715
2001	MAR	LOW	243222.821223181
2001	APR	LOW	252851.057211325
2001	MAY	LOW	250906.482118078
2001	JUN	LOW	244960.778928343
2001	JUL	LOW	247553.804178592
2001	AUG	LOW	252874.898114875
2001	SEP	LOW	242982.911469735
2001	OCT	LOW	265690.648707867
2001	NOV	LOW	256986.680365738
2001	DEC	LOW	247749.571277153
2001	JAN	HIGH	254003.531118356
2001	FEB	HIGH	255775.281427912
2001	MAR	HIGH	252604.397061378
2001	APR	HIGH	264300.910444386
2001	MAY	HIGH	261769.651342545
2001	JUN	HIGH	262314.405192137
2001	JUL	HIGH	262498.452783898
2001	AUG	HIGH	255786.762138065
2001	SEP	HIGH	251648.779958341
2001	OCT	HIGH	271653.039605197
2001	NOV	HIGH	264982.623033796
2001	DEC	HIGH	263190.385863043
2002	JAN	MED	256376
2002	FEB	MED	257677
2002	MAR	MED	257060
2002	APR	MED	261320
2002	MAY	MED	257616
2002	JUN	MED	259815
2002	JUL	MED	262811
2002	AUG	MED	264975
2002	SEP	MED	260650
2002	OCT	MED	262011
2002	NOV	MED	263559
2002	DEC	MED	265802
2002	JAN	LOW	247746.076707099
2002	FEB	LOW	249504.790939715
2002	MAR	LOW	249936.821223181
2002	APR	LOW	259412.057211325
2002	MAY	LOW	253260.482118078
2002	JUN	LOW	250755.778928343
2002	JUL	LOW	257349.804178592
2002	AUG	LOW	263279.898114875
2002	SEP	LOW	253776.911469735
2002	OCT	LOW	259629.648707867
2002	NOV	LOW	260182.680365738
2002	DEC	LOW	256999.571277153
2002	JAN	HIGH	257643.531118356
2002	FEB	HIGH	260722.281427912
2002	MAR	HIGH	259318.397061378
2002	APR	HIGH	270861.910444386
2002	MAY	HIGH	264123.651342545
2002	JUN	HIGH	268109.405192137
2002	JUL	HIGH	272294.452783898
2002	AUG	HIGH	266191.762138065
2002	SEP	HIGH	262442.779958341
2002	OCT	HIGH	265592.039605197
2002	NOV	HIGH	268178.623033796
2002	DEC	HIGH	272440.385863043
2003	JAN	MED	267276
2003	FEB	MED	263199
2003	MAR	MED	267842
2003	APR	MED	267240
2003	MAY	MED	267347
2003	JUN	MED	270432
2003	JUL	MED	273393
2003	AUG	MED	277901
2003	SEP	MED	276413
2003	OCT	MED	274779
2003	NOV	MED	278322
2003	DEC	MED	277567
2003	JAN	LOW	258646.076707099
2003	FEB	LOW	255026.790939715
2003	MAR	LOW	260718.821223181
2003	APR	LOW	265332.057211325
2003	MAY	LOW	262991.482118078
2003	JUN	LOW	261372.778928343
2003	JUL	LOW	267931.804178592
2003	AUG	LOW	276205.898114875
2003	SEP	LOW	269539.911469735
2003	OCT	LOW	272397.648707867
2003	NOV	LOW	274945.680365738
2003	DEC	LOW	268764.571277153
2003	JAN	HIGH	268543.531118356
2003	FEB	HIGH	266244.281427912
2003	MAR	HIGH	270100.397061378
2003	APR	HIGH	276781.910444386
2003	MAY	HIGH	273854.651342545
2003	JUN	HIGH	278726.405192137
2003	JUL	HIGH	282876.452783898
2003	AUG	HIGH	279117.762138065
2003	SEP	HIGH	278205.779958341
2003	OCT	HIGH	278360.039605197
2003	NOV	HIGH	282941.623033796
2003	DEC	HIGH	284205.385863043
2004	JAN	MED	278884
2004	FEB	MED	280966
2004	MAR	MED	286232
2004	APR	MED	282971
2004	MAY	MED	288250
2004	JUN	MED	284146
2004	JUL	MED	287341
2004	AUG	MED	287909
2004	SEP	MED	293177
2004	OCT	MED	295055
2004	NOV	MED	296178
2004	DEC	MED	299766
2004	JAN	LOW	270254.076707099
2004	FEB	LOW	272793.790939715
2004	MAR	LOW	279108.821223181
2004	APR	LOW	281063.057211325
2004	MAY	LOW	283894.482118078
2004	JUN	LOW	275086.778928343
2004	JUL	LOW	281879.804178592
2004	AUG	LOW	286213.898114875
2004	SEP	LOW	286303.911469735
2004	OCT	LOW	292673.648707867
2004	NOV	LOW	292801.680365738
2004	DEC	LOW	290963.571277153
2004	JAN	HIGH	280151.531118356
2004	FEB	HIGH	284011.281427912
2004	MAR	HIGH	288490.397061378
2004	APR	HIGH	292512.910444386
2004	MAY	HIGH	294757.651342545
2004	JUN	HIGH	292440.405192137
2004	JUL	HIGH	296824.452783898
2004	AUG	HIGH	289125.762138065
2004	SEP	HIGH	294969.779958341
2004	OCT	HIGH	298636.039605197
2004	NOV	HIGH	300797.623033796
2004	DEC	HIGH	306404.385863043
2005	JAN	MED	297728
2005	FEB	MED	299986
2005	MAR	MED	299958
2005	APR	MED	304710
2005	MAY	MED	301572
2005	JUN	MED	311171
2005	JUL	MED	314562
2005	AUG	MED	309404
2005	SEP	MED	310084
2005	OCT	MED	311034
2005	NOV	MED	313282
2005	DEC	MED	313107
2005	JAN	LOW	289098.076707099
2005	FEB	LOW	291813.790939715
2005	MAR	LOW	292834.821223181
2005	APR	LOW	302802.057211325
2005	MAY	LOW	297216.482118078
2005	JUN	LOW	302111.778928343
2005	JUL	LOW	309100.804178592
2005	AUG	LOW	307708.898114875
2005	SEP	LOW	303210.911469735
2005	OCT	LOW	308652.648707867
2005	NOV	LOW	309905.680365738
2005	DEC	LOW	304304.571277153
2005	JAN	HIGH	298995.531118356
2005	FEB	HIGH	303031.281427912
2005	MAR	HIGH	302216.397061378
2005	APR	HIGH	314251.910444386
2005	MAY	HIGH	308079.651342545
2005	JUN	HIGH	319465.405192137
2005	JUL	HIGH	324045.452783898
2005	AUG	HIGH	310620.762138065
2005	SEP	HIGH	311876.779958341
2005	OCT	HIGH	314615.039605197
2005	NOV	HIGH	317901.623033796
2005	DEC	HIGH	319745.385863043
2006	JAN	MED	322795
2006	FEB	MED	319887
2006	MAR	MED	321428
2006	APR	MED	322769
2006	MAY	MED	321283
2006	JUN	MED	322795
2006	JUL	MED	325038
2006	AUG	MED	324913
2006	SEP	MED	323029
2006	OCT	MED	322747
2006	NOV	MED	323367
2006	DEC	MED	327600
2006	JAN	LOW	314165.076707099
2006	FEB	LOW	311714.790939715
2006	MAR	LOW	314304.821223181
2006	APR	LOW	320861.057211325
2006	MAY	LOW	316927.482118078
2006	JUN	LOW	313735.778928343
2006	JUL	LOW	319576.804178592
2006	AUG	LOW	323217.898114875
2006	SEP	LOW	316155.911469735
2006	OCT	LOW	320365.648707867
2006	NOV	LOW	319990.680365738
2006	DEC	LOW	318797.571277153
2006	JAN	HIGH	324062.531118356
2006	FEB	HIGH	322932.281427912
2006	MAR	HIGH	323686.397061378
2006	APR	HIGH	332310.910444386
2006	MAY	HIGH	327790.651342545
2006	JUN	HIGH	331089.405192137
2006	JUL	HIGH	334521.452783898
2006	AUG	HIGH	326129.762138065
2006	SEP	HIGH	324821.779958341
2006	OCT	HIGH	326328.039605197
2006	NOV	HIGH	327986.623033796
2006	DEC	HIGH	334238.385863043
2007	JAN	MED	326922
2007	FEB	MED	327893
2007	MAR	MED	330819
2007	APR	MED	329256
2007	MAY	MED	333889
2007	JUN	MED	331164
2007	JUL	MED	332620
2007	AUG	MED	333824
2007	SEP	MED	336431
2007	OCT	MED	337090
2007	NOV	MED	340383
2007	DEC	MED	336829
2007	JAN	LOW	318292.076707099
2007	FEB	LOW	319720.790939715
2007	MAR	LOW	323695.821223181
2007	APR	LOW	327348.057211325
2007	MAY	LOW	329533.482118078
2007	JUN	LOW	322104.778928343
2007	JUL	LOW	327158.804178592
2007	AUG	LOW	332128.898114875
2007	SEP	LOW	329557.911469735
2007	OCT	LOW	334708.648707867
2007	NOV	LOW	337006.680365738
2007	DEC	LOW	328026.571277153
2007	JAN	HIGH	328189.531118356
2007	FEB	HIGH	330938.281427912
2007	MAR	HIGH	333077.397061378
2007	APR	HIGH	338797.910444386
2007	MAY	HIGH	340396.651342545
2007	JUN	HIGH	339458.405192137
2007	JUL	HIGH	342103.452783898
2007	AUG	HIGH	335040.762138065
2007	SEP	HIGH	338223.779958341
2007	OCT	HIGH	340671.039605197
2007	NOV	HIGH	345002.623033796
2007	DEC	HIGH	343467.385863043
2008	JAN	MED	337274
2008	FEB	MED	334469
2008	MAR	MED	334559
2008	APR	MED	336101
2008	MAY	MED	337383
2008	JUN	MED	338832
2008	JUL	MED	336771
2008	AUG	MED	334481
2008	SEP	MED	327779
2008	OCT	MED	314828
2008	NOV	MED	302285
2008	DEC	MED	293959
2008	JAN	LOW	328644.076707099
2008	FEB	LOW	326296.790939715
2008	MAR	LOW	327435.821223181
2008	APR	LOW	334193.057211325
2008	MAY	LOW	333027.482118078
2008	JUN	LOW	329772.778928343
2008	JUL	LOW	331309.804178592
2008	AUG	LOW	332785.898114875
2008	SEP	LOW	320905.911469735
2008	OCT	LOW	312446.648707867
2008	NOV	LOW	298908.680365738
2008	DEC	LOW	285156.571277153
2008	JAN	HIGH	338541.531118356
2008	FEB	HIGH	337514.281427912
2008	MAR	HIGH	336817.397061378
2008	APR	HIGH	345642.910444386
2008	MAY	HIGH	343890.651342545
2008	JUN	HIGH	347126.405192137
2008	JUL	HIGH	346254.452783898
2008	AUG	HIGH	335697.762138065
2008	SEP	HIGH	329571.779958341
2008	OCT	HIGH	318409.039605197
2008	NOV	HIGH	306904.623033796
2008	DEC	HIGH	300597.385863043
2009	JAN	MED	298565
2009	FEB	MED	297933
2009	MAR	MED	292857
2009	APR	MED	293419
2009	MAY	MED	297060
2009	JUN	MED	301671
2009	JUL	MED	302901
2009	AUG	MED	309581
2009	SEP	MED	301199
2009	OCT	MED	303962
2009	NOV	MED	307190
2009	DEC	MED	308501
2009	JAN	LOW	289935.076707099
2009	FEB	LOW	289760.790939715
2009	MAR	LOW	285733.821223181
2009	APR	LOW	291511.057211325
2009	MAY	LOW	292704.482118078
2009	JUN	LOW	292611.778928343
2009	JUL	LOW	297439.804178592
2009	AUG	LOW	307885.898114875
2009	SEP	LOW	294325.911469735
2009	OCT	LOW	301580.648707867
2009	NOV	LOW	303813.680365738
2009	DEC	LOW	299698.571277153
2009	JAN	HIGH	299832.531118356
2009	FEB	HIGH	300978.281427912
2009	MAR	HIGH	295115.397061378
2009	APR	HIGH	302960.910444386
2009	MAY	HIGH	303567.651342545
2009	JUN	HIGH	309965.405192137
2009	JUL	HIGH	312384.452783898
2009	AUG	HIGH	310797.762138065
2009	SEP	HIGH	302991.779958341
2009	OCT	HIGH	307543.039605197
2009	NOV	HIGH	311809.623033796
2009	DEC	HIGH	315139.385863043
2010	JAN	MED	309140
2010	FEB	MED	308807
2010	MAR	MED	316242
2010	APR	MED	318115
2010	MAY	MED	315985
2010	JUN	MED	315379
2010	JUL	MED	315716
2010	AUG	MED	317501
2010	SEP	MED	320346
2010	OCT	MED	324941
2010	NOV	MED	327271
2010	DEC	MED	329974
2010	JAN	LOW	300510.076707099
2010	FEB	LOW	300634.790939715
2010	MAR	LOW	309118.821223181
2010	APR	LOW	316207.057211325
2010	MAY	LOW	311629.482118078
2010	JUN	LOW	306319.778928343
2010	JUL	LOW	310254.804178592
2010	AUG	LOW	315805.898114875
2010	SEP	LOW	313472.911469735
2010	OCT	LOW	322559.648707867
2010	NOV	LOW	323894.680365738
2010	DEC	LOW	321171.571277153
2010	JAN	HIGH	310407.531118356
2010	FEB	HIGH	311852.281427912
2010	MAR	HIGH	318500.397061378
2010	APR	HIGH	327656.910444386
2010	MAY	HIGH	322492.651342545
2010	JUN	HIGH	323673.405192137
2010	JUL	HIGH	325199.452783898
2010	AUG	HIGH	318717.762138065
2010	SEP	HIGH	322138.779958341
2010	OCT	HIGH	328522.039605197
2010	NOV	HIGH	331890.623033796
2010	DEC	HIGH	336612.385863043
2011	JAN	MED	332752
2011	FEB	MED	334679
2011	MAR	MED	338207
2011	APR	MED	339991
2011	MAY	MED	339664
2011	JUN	MED	341859
2011	JUL	MED	342554
2011	AUG	MED	342093
2011	SEP	MED	345332
2011	OCT	MED	348631
2011	NOV	MED	349723
2011	DEC	MED	349714
2011	JAN	LOW	324122.076707099
2011	FEB	LOW	326506.790939715
2011	MAR	LOW	331083.821223181
2011	APR	LOW	338083.057211325
2011	MAY	LOW	335308.482118078
2011	JUN	LOW	332799.778928343
2011	JUL	LOW	337092.804178592
2011	AUG	LOW	340397.898114875
2011	SEP	LOW	338458.911469735
2011	OCT	LOW	346249.648707867
2011	NOV	LOW	346346.680365738
2011	DEC	LOW	340911.571277153
2011	JAN	HIGH	334019.531118356
2011	FEB	HIGH	337724.281427912
2011	MAR	HIGH	340465.397061378
2011	APR	HIGH	349532.910444386
2011	MAY	HIGH	346171.651342545
2011	JUN	HIGH	350153.405192137
2011	JUL	HIGH	352037.452783898
2011	AUG	HIGH	343309.762138065
2011	SEP	HIGH	347124.779958341
2011	OCT	HIGH	352212.039605197
2011	NOV	HIGH	354342.623033796
2011	DEC	HIGH	356352.385863043
2012	JAN	MED	352598
2012	FEB	MED	357278
2012	MAR	MED	359189
2012	APR	MED	356541
2012	MAY	MED	356256
2012	JUN	MED	352397
2012	JUL	MED	354292
2012	AUG	MED	358479
2012	SEP	MED	362886
2012	OCT	MED	362014
2012	NOV	MED	363393
2012	DEC	MED	365669
2012	JAN	LOW	343968.076707099
2012	FEB	LOW	349105.790939715
2012	MAR	LOW	352065.821223181
2012	APR	LOW	354633.057211325
2012	MAY	LOW	351900.482118078
2012	JUN	LOW	343337.778928343
2012	JUL	LOW	348830.804178592
2012	AUG	LOW	356783.898114875
2012	SEP	LOW	356012.911469735
2012	OCT	LOW	359632.648707867
2012	NOV	LOW	360016.680365738
2012	DEC	LOW	356866.571277153
2012	JAN	HIGH	353865.531118356
2012	FEB	HIGH	360323.281427912
2012	MAR	HIGH	361447.397061378
2012	APR	HIGH	366082.910444386
2012	MAY	HIGH	362763.651342545
2012	JUN	HIGH	360691.405192137
2012	JUL	HIGH	363775.452783898
2012	AUG	HIGH	359695.762138065
2012	SEP	HIGH	364678.779958341
2012	OCT	HIGH	365595.039605197
2012	NOV	HIGH	368012.623033796
2012	DEC	HIGH	372307.385863043
2013	JAN	MED	367676
2013	FEB	MED	372573
2013	MAR	MED	369575
2013	APR	MED	368614
2013	MAY	MED	370671
2013	JUN	MED	372894
2013	JUL	MED	374280
2013	AUG	MED	372768
2013	SEP	MED	373610
2013	OCT	MED	374196
2013	NOV	MED	374691
2013	DEC	MED	377425
2013	JAN	LOW	359046.076707099
2013	FEB	LOW	364400.790939715
2013	MAR	LOW	362451.821223181
2013	APR	LOW	366706.057211325
2013	MAY	LOW	366315.482118078
2013	JUN	LOW	363834.778928343
2013	JUL	LOW	368818.804178592
2013	AUG	LOW	371072.898114875
2013	SEP	LOW	366736.911469735
2013	OCT	LOW	371814.648707867
2013	NOV	LOW	371314.680365738
2013	DEC	LOW	368622.571277153
2013	JAN	HIGH	368943.531118356
2013	FEB	HIGH	375618.281427912
2013	MAR	HIGH	371833.397061378
2013	APR	HIGH	378155.910444386
2013	MAY	HIGH	377178.651342545
2013	JUN	HIGH	381188.405192137
2013	JUL	HIGH	383763.452783898
2013	AUG	HIGH	373984.762138065
2013	SEP	HIGH	375402.779958341
2013	OCT	HIGH	377777.039605197
2013	NOV	HIGH	379310.623033796
2013	DEC	HIGH	384063.385863043
2014	JAN	MED	373036
2014	FEB	MED	377666
2014	MAR	MED	382356
2014	APR	MED	385855
2014	MAY	MED	385572
2014	JUN	MED	388226
2014	JUL	MED	387541
2014	AUG	MED	389924
2014	SEP	MED	388478
2014	OCT	MED	390183
2014	NOV	MED	392426
2014	DEC	MED	387188
2014	JAN	LOW	364406.076707099
2014	FEB	LOW	369493.790939715
2014	MAR	LOW	375232.821223181
2014	APR	LOW	383947.057211325
2014	MAY	LOW	381216.482118078
2014	JUN	LOW	379166.778928343
2014	JUL	LOW	382079.804178592
2014	AUG	LOW	388228.898114875
2014	SEP	LOW	381604.911469735
2014	OCT	LOW	387801.648707867
2014	NOV	LOW	389049.680365738
2014	DEC	LOW	378385.571277153
2014	JAN	HIGH	374303.531118356
2014	FEB	HIGH	380711.281427912
2014	MAR	HIGH	384614.397061378
2014	APR	HIGH	395396.910444386
2014	MAY	HIGH	392079.651342545
2014	JUN	HIGH	396520.405192137
2014	JUL	HIGH	397024.452783898
2014	AUG	HIGH	391140.762138065
2014	SEP	HIGH	390270.779958341
2014	OCT	HIGH	393764.039605197
2014	NOV	HIGH	397045.623033796
2014	DEC	HIGH	393826.385863043
2015	JAN	MED	383889
2015	FEB	MED	381432
2015	MAR	MED	387665
2015	APR	MED	387235
2015	MAY	MED	392268
2015	JUN	MED	391955
2015	JUL	MED	395100
2015	AUG	MED	394944
2015	SEP	MED	394429
2015	OCT	MED	394562
2015	NOV	MED	395160
2015	DEC	MED	NA
2015	JAN	LOW	375259.076707099
2015	FEB	LOW	373259.790939715
2015	MAR	LOW	380541.821223181
2015	APR	LOW	385327.057211325
2015	MAY	LOW	387912.482118078
